"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","food","room","make","little","like","post","know","one","baby","noah","going","year","kids","camera","will","nielson","said","hair","people","back"
"2","eat","house","paper","boys","also","blog","life","shop","just","just","like","kids","water","photo","family","love","told","like","song","car"
"3","like","like","little","big","just","will","want","store","time","like","leta","day","trip","photos","home","children","got","can","one","around"
"4","dinner","home","paint","sister","really","can","can","code","get","even","marlo","book","one","pictures","kids","family","asked","look","will","got"
"5","made","new","just","one","people","week","will","favorite","bed","ezra","one","one","day","will","care","will","back","wear","video","morning"
"6","eating","kitchen","used","pictures","know","know","things","leave","back","still","dont","time","get","phone","one","beautiful","time","shoes","every","door"
"7","just","now","use","girl","now","like","feel","enter","sleep","ike","jon","christmas","time","iso","children","today","school","wearing","may","front"
"8","make","one","made","brother","totally","get","like","come","night","now","know","books","little","get","help","happy","like","just","music","house"
"9","good","table","can","day","one","now","love","blog","now","jason","right","get","much","shot","many","jane","mom","dress","world","get"
"10","time","living","cut","girls","god","just","think","visit","weeks","one","head","new","also","use","can","day","looked","will","women","night"
"11","one","floor","fabric","love","jason","going","way","comment","still","time","just","days","park","can","daughter","weekend","just","clothes","show","outside"
"12","lunch","wall","one","picture","amy","read","just","items","morning","thing","dog","read","running","just","little","claire","years","shirt","called","home"
"13","chocolate","will","project","fun","thing","today","never","giveaway","hours","baby","said","tree","took","photography","child","amazing","wanted","get","new","inside"
"14","ate","just","find","birthday","even","email","always","ends","like","okay","didnt","family","chris","lens","friends","home","day","red","part","minutes"
"15","can","time","craft","great","anyway","thank","hard","person","days","child","say","years","summer","take","life","lottie","thought","find","woman","snow"
"16","water","bed","gift","just","damn","write","people","winner","right","two","two","old","around","snapshop","share","yellow","went","bag","live","yesterday"
"17","two","much","idea","cute","actually","new","sometimes","telling","last","school","someone","last","just","picture","love","new","took","bought","movie","window"
"18","cream","garden","simple","chris","get","comments","words","facebook","day","right","ever","really","see","course","day","wonderful","came","pants","york","left"
"19","hot","clean","cute","family","maybe","time","make","back","even","noahs","chuck","week","take","great","story","nicholas","think","use","country","open"
"20","day","get","fun","sweet","ever","things","dont","chosen","months","though","even","reading","way","using","also","none","one","black","see","took"
